"","height","weight","label"
"101",197,78,"normal"
"102",121,77,"fat"
"103",172,39,"thin"
"104",139,48,"normal"
"105",190,79,"normal"
"106",130,75,"fat"
"107",136,75,"fat"
"108",154,56,"normal"
"109",135,70,"fat"
"110",145,63,"fat"
"111",178,65,"normal"
"112",131,64,"fat"
"113",166,42,"thin"
"114",153,41,"thin"
"115",132,65,"fat"
"116",169,62,"normal"
"117",174,67,"normal"
"118",130,68,"fat"
"119",131,64,"fat"
"120",200,76,"normal"
"121",130,49,"fat"
"122",150,37,"thin"
"123",140,63,"fat"
"124",160,40,"thin"
"125",171,55,"normal"
"126",131,36,"normal"
"127",155,63,"fat"
"128",121,72,"fat"
"129",146,73,"fat"
"130",131,36,"normal"
"131",188,67,"normal"
"132",188,73,"normal"
"133",122,58,"fat"
"134",137,65,"fat"
"135",166,74,"fat"
"136",174,66,"normal"
"137",157,55,"normal"
"138",131,80,"fat"
"139",165,78,"fat"
"140",150,65,"fat"
"141",152,53,"normal"
"142",162,60,"normal"
"143",147,44,"normal"
"144",155,38,"thin"
"145",181,43,"thin"
"146",175,73,"normal"
"147",175,64,"normal"
"148",137,42,"normal"
"149",192,58,"thin"
"150",169,73,"fat"
"151",194,48,"thin"
"152",149,70,"fat"
"153",178,60,"normal"
"154",144,69,"fat"
"155",197,60,"thin"
"156",164,43,"thin"
"157",145,70,"fat"
"158",160,79,"fat"
"159",184,38,"thin"
"160",136,51,"fat"
"161",155,79,"fat"
"162",170,39,"thin"
"163",141,68,"fat"
"164",152,45,"normal"
"165",191,38,"thin"
"166",127,41,"fat"
"167",132,62,"fat"
"168",157,45,"thin"
"169",124,71,"fat"
"170",180,74,"normal"
"171",135,64,"fat"
"172",173,75,"fat"
"173",156,52,"normal"
"174",171,67,"normal"
"175",190,54,"thin"
"176",176,72,"normal"
"177",190,74,"normal"
"178",169,80,"fat"
"179",128,36,"normal"
"180",142,48,"normal"
"181",137,48,"fat"
"182",159,50,"normal"
"183",129,49,"fat"
"184",125,44,"fat"
"185",123,49,"fat"
"186",142,45,"normal"
"187",138,69,"fat"
"188",135,36,"normal"
"189",136,43,"normal"
"190",153,61,"fat"
"191",161,55,"normal"
"192",135,48,"fat"
"193",132,65,"fat"
"194",154,65,"fat"
"195",162,70,"fat"
"196",172,75,"fat"
"197",169,43,"thin"
"198",149,46,"normal"
"199",194,48,"thin"
"200",160,56,"normal"
"201",186,62,"thin"
"202",147,40,"normal"
"203",183,75,"normal"
"204",187,69,"normal"
"205",196,58,"thin"
"206",182,48,"thin"
"207",122,64,"fat"
"208",173,45,"thin"
"209",123,59,"fat"
"210",190,56,"thin"
"211",196,56,"thin"
"212",192,42,"thin"
"213",127,46,"fat"
"214",182,52,"thin"
"215",158,46,"thin"
"216",156,45,"thin"
"217",132,56,"fat"
"218",125,43,"fat"
"219",136,47,"fat"
"220",153,69,"fat"
"221",186,52,"thin"
"222",184,62,"thin"
"223",167,42,"thin"
"224",146,57,"fat"
"225",172,36,"thin"
"226",157,78,"fat"
"227",161,58,"normal"
"228",123,41,"fat"
"229",189,46,"thin"
"230",152,49,"normal"
"231",123,47,"fat"
"232",139,38,"normal"
"233",146,47,"normal"
"234",146,38,"thin"
"235",193,45,"thin"
"236",168,60,"normal"
"237",194,77,"normal"
"238",143,57,"fat"
"239",170,71,"normal"
"240",196,55,"thin"
"241",196,41,"thin"
"242",171,80,"fat"
"243",120,76,"fat"
"244",173,59,"normal"
"245",182,39,"thin"
"246",195,43,"thin"
"247",169,62,"normal"
"248",156,75,"fat"
"249",163,58,"normal"
"250",174,62,"normal"
"251",163,64,"normal"
"252",130,52,"fat"
"253",176,61,"normal"
"254",175,42,"thin"
"255",134,39,"normal"
"256",154,51,"normal"
"257",161,48,"normal"
"258",191,71,"normal"
"259",157,79,"fat"
"260",149,41,"thin"
"261",136,63,"fat"
"262",130,72,"fat"
"263",186,63,"thin"
"264",197,73,"normal"
"265",139,41,"normal"
"266",176,79,"fat"
"267",193,45,"thin"
"268",131,59,"fat"
"269",124,72,"fat"
"270",167,78,"fat"
"271",195,43,"thin"
"272",122,61,"fat"
"273",186,40,"thin"
"274",134,64,"fat"
"275",197,75,"normal"
"276",120,53,"fat"
"277",133,35,"normal"
"278",127,41,"fat"
"279",182,41,"thin"
"280",140,47,"normal"
"281",121,45,"fat"
"282",138,52,"fat"
"283",196,60,"thin"
"284",125,39,"normal"
"285",129,59,"fat"
"286",135,54,"fat"
"287",194,50,"thin"
"288",144,54,"fat"
"289",137,76,"fat"
"290",190,42,"thin"
"291",154,48,"normal"
"292",192,63,"thin"
"293",155,42,"thin"
"294",168,39,"thin"
"295",164,77,"fat"
"296",120,44,"fat"
"297",131,64,"fat"
"298",125,55,"fat"
"299",126,55,"fat"
"300",188,41,"thin"
"301",134,78,"fat"
"302",128,80,"fat"
"303",169,52,"thin"
"304",162,65,"normal"
"305",183,43,"thin"
"306",148,43,"normal"
"307",133,60,"fat"
"308",193,46,"thin"
"309",139,64,"fat"
"310",200,40,"thin"
"311",181,50,"thin"
"312",122,79,"fat"
"313",163,74,"fat"
"314",165,64,"normal"
"315",137,70,"fat"
"316",136,52,"fat"
"317",132,55,"fat"
"318",138,62,"fat"
"319",124,55,"fat"
"320",139,41,"normal"
"321",129,73,"fat"
"322",151,50,"normal"
"323",156,76,"fat"
"324",183,45,"thin"
"325",162,58,"normal"
"326",198,37,"thin"
"327",126,46,"fat"
"328",135,78,"fat"
"329",196,59,"thin"
"330",148,75,"fat"
"331",167,35,"thin"
"332",120,63,"fat"
"333",124,69,"fat"
"334",179,54,"thin"
"335",135,40,"normal"
"336",126,46,"fat"
"337",154,60,"fat"
"338",185,75,"normal"
"339",130,47,"fat"
"340",127,43,"fat"
"341",170,69,"normal"
"342",168,71,"fat"
"343",187,73,"normal"
"344",129,38,"normal"
"345",157,62,"fat"
"346",174,78,"fat"
"347",158,61,"normal"
"348",188,45,"thin"
"349",167,38,"thin"
"350",143,44,"normal"
"351",150,80,"fat"
"352",125,78,"fat"
"353",198,72,"thin"
"354",165,43,"thin"
"355",191,49,"thin"
"356",168,38,"thin"
"357",127,44,"fat"
"358",120,60,"fat"
"359",135,42,"normal"
"360",194,65,"thin"
"361",121,79,"fat"
"362",165,76,"fat"
"363",130,63,"fat"
"364",165,58,"normal"
"365",187,56,"thin"
"366",154,67,"fat"
"367",160,44,"thin"
"368",196,51,"thin"
"369",144,37,"thin"
"370",138,74,"fat"
"371",165,66,"normal"
"372",196,42,"thin"
"373",153,63,"fat"
"374",166,66,"normal"
"375",198,52,"thin"
"376",177,50,"thin"
"377",179,61,"normal"
"378",196,60,"thin"
"379",128,54,"fat"
"380",138,48,"fat"
"381",196,43,"thin"
"382",161,49,"normal"
"383",170,70,"normal"
"384",168,77,"fat"
"385",159,78,"fat"
"386",186,69,"normal"
"387",133,60,"fat"
"388",165,36,"thin"
"389",164,77,"fat"
"390",134,38,"normal"
"391",168,36,"thin"
"392",200,65,"thin"
"393",130,61,"fat"
"394",190,65,"thin"
"395",193,45,"thin"
"396",154,38,"thin"
"397",163,48,"thin"
"398",134,45,"fat"
"399",174,43,"thin"
"400",153,51,"normal"
"401",161,57,"normal"
"402",193,43,"thin"
"403",149,78,"fat"
"404",173,39,"thin"
"405",194,50,"thin"
"406",158,61,"normal"
"407",140,64,"fat"
"408",172,36,"thin"
"409",163,54,"normal"
"410",155,43,"thin"
"411",200,58,"thin"
"412",145,45,"normal"
"413",141,37,"normal"
"414",181,69,"normal"
"415",200,50,"thin"
"416",196,74,"normal"
"417",137,77,"fat"
"418",197,61,"thin"
"419",189,77,"normal"
"420",166,64,"normal"
"421",171,47,"thin"
"422",167,44,"thin"
"423",176,41,"thin"
"424",131,66,"fat"
"425",146,49,"normal"
"426",185,65,"normal"
"427",188,78,"normal"
"428",138,43,"normal"
"429",137,43,"normal"
"430",189,47,"thin"
"431",198,75,"normal"
"432",200,72,"thin"
"433",164,72,"fat"
"434",127,80,"fat"
"435",157,46,"normal"
"436",194,72,"normal"
"437",185,79,"normal"
"438",125,41,"fat"
"439",149,66,"fat"
"440",128,45,"fat"
"441",139,42,"normal"
"442",165,72,"fat"
"443",141,56,"fat"
"444",166,80,"fat"
"445",184,44,"thin"
"446",168,75,"fat"
"447",132,79,"fat"
"448",187,59,"thin"
"449",182,64,"normal"
"450",128,68,"fat"
"451",175,64,"normal"
"452",174,47,"thin"
"453",139,41,"normal"
"454",128,42,"fat"
"455",179,69,"normal"
"456",180,47,"thin"
"457",132,68,"fat"
"458",169,62,"normal"
"459",171,37,"thin"
"460",188,70,"normal"
"461",191,49,"thin"
"462",200,38,"thin"
"463",175,56,"thin"
"464",165,59,"normal"
"465",170,38,"thin"
"466",165,41,"thin"
"467",148,47,"normal"
"468",194,68,"thin"
"469",164,63,"normal"
"470",128,58,"fat"
"471",129,49,"fat"
"472",168,38,"thin"
"473",134,75,"fat"
"474",196,77,"normal"
"475",164,53,"normal"
"476",187,46,"thin"
"477",156,58,"normal"
"478",195,76,"normal"
"479",176,36,"thin"
"480",170,78,"fat"
"481",157,66,"fat"
"482",125,75,"fat"
"483",135,66,"fat"
"484",167,42,"thin"
"485",126,38,"normal"
"486",177,72,"normal"
"487",167,56,"normal"
"488",127,68,"fat"
"489",191,77,"normal"
"490",196,43,"thin"
"491",173,42,"thin"
"492",189,50,"thin"
"493",155,40,"thin"
"494",175,45,"thin"
"495",153,71,"fat"
"496",126,36,"normal"
"497",157,61,"normal"
"498",160,47,"thin"
"499",136,53,"fat"
"500",169,54,"normal"
"501",191,63,"thin"
"502",160,80,"fat"
"503",147,66,"fat"
"504",182,73,"normal"
"505",166,75,"fat"
"506",186,49,"thin"
"507",188,65,"thin"
"508",144,76,"fat"
"509",121,38,"fat"
"510",128,79,"fat"
"511",124,37,"normal"
"512",199,76,"normal"
"513",176,36,"thin"
"514",126,44,"fat"
"515",179,76,"normal"
"516",120,58,"fat"
"517",194,44,"thin"
"518",131,40,"normal"
"519",171,38,"thin"
"520",160,38,"thin"
"521",166,47,"thin"
"522",129,51,"fat"
"523",149,73,"fat"
"524",180,63,"normal"
"525",129,52,"fat"
"526",176,63,"normal"
"527",190,56,"thin"
"528",120,68,"fat"
"529",160,67,"fat"
"530",126,77,"fat"
"531",163,73,"fat"
"532",130,40,"normal"
"533",200,50,"thin"
"534",169,44,"thin"
"535",196,66,"thin"
"536",199,79,"normal"
"537",146,39,"thin"
"538",174,47,"thin"
"539",168,41,"thin"
"540",146,37,"thin"
"541",194,65,"thin"
"542",137,76,"fat"
"543",190,62,"thin"
"544",174,43,"thin"
"545",169,37,"thin"
"546",129,41,"normal"
"547",167,74,"fat"
"548",179,44,"thin"
"549",129,51,"fat"
"550",176,67,"normal"
"551",160,78,"fat"
"552",138,66,"fat"
"553",127,62,"fat"
"554",156,69,"fat"
"555",149,49,"normal"
"556",191,44,"thin"
"557",176,56,"thin"
"558",192,36,"thin"
"559",139,70,"fat"
"560",151,51,"normal"
"561",196,66,"thin"
"562",191,59,"thin"
"563",135,38,"normal"
"564",140,42,"normal"
"565",146,70,"fat"
"566",149,38,"thin"
"567",164,66,"normal"
"568",192,58,"thin"
"569",122,65,"fat"
"570",175,52,"thin"
"571",154,54,"normal"
"572",192,43,"thin"
"573",156,74,"fat"
"574",124,73,"fat"
"575",120,64,"fat"
"576",156,62,"fat"
"577",142,70,"fat"
"578",148,71,"fat"
"579",187,65,"normal"
"580",177,69,"normal"
"581",196,54,"thin"
"582",166,59,"normal"
"583",182,63,"normal"
"584",194,64,"thin"
"585",121,57,"fat"
"586",159,63,"normal"
"587",182,44,"thin"
"588",153,40,"thin"
"589",125,72,"fat"
"590",196,63,"thin"
"591",132,77,"fat"
"592",130,62,"fat"
"593",140,36,"thin"
"594",155,80,"fat"
"595",169,60,"normal"
"596",134,67,"fat"
"597",126,75,"fat"
"598",183,44,"thin"
"599",169,60,"normal"
"600",149,37,"thin"
"601",170,66,"normal"
"602",129,58,"fat"
"603",166,76,"fat"
"604",143,56,"fat"
"605",165,79,"fat"
"606",152,67,"fat"
"607",128,42,"fat"
"608",188,71,"normal"
"609",127,75,"fat"
"610",148,51,"normal"
"611",134,49,"fat"
"612",127,40,"normal"
"613",141,63,"fat"
"614",192,41,"thin"
"615",132,69,"fat"
"616",155,73,"fat"
"617",126,50,"fat"
"618",171,64,"normal"
"619",162,64,"normal"
"620",151,73,"fat"
"621",123,49,"fat"
"622",188,47,"thin"
"623",166,75,"fat"
"624",149,58,"fat"
"625",163,35,"thin"
"626",148,48,"normal"
"627",181,50,"thin"
"628",196,42,"thin"
"629",198,43,"thin"
"630",165,69,"fat"
"631",133,47,"fat"
"632",181,48,"thin"
"633",163,70,"fat"
"634",199,45,"thin"
"635",196,74,"normal"
"636",184,49,"thin"
"637",185,63,"thin"
"638",194,56,"thin"
"639",185,66,"normal"
"640",149,39,"thin"
"641",187,37,"thin"
"642",130,44,"fat"
"643",168,80,"fat"
"644",183,47,"thin"
"645",148,79,"fat"
"646",152,48,"normal"
"647",177,47,"thin"
"648",136,74,"fat"
"649",126,49,"fat"
"650",130,68,"fat"
"651",151,77,"fat"
"652",152,54,"normal"
"653",165,76,"fat"
"654",169,50,"thin"
"655",175,66,"normal"
"656",120,62,"fat"
"657",139,36,"normal"
"658",148,74,"fat"
"659",142,45,"normal"
"660",125,41,"fat"
"661",140,71,"fat"
"662",126,56,"fat"
"663",133,56,"fat"
"664",196,77,"normal"
"665",148,77,"fat"
"666",192,67,"thin"
"667",189,58,"thin"
"668",138,54,"fat"
"669",155,54,"normal"
"670",174,59,"normal"
"671",155,62,"fat"
"672",145,42,"normal"
"673",198,46,"thin"
"674",182,46,"thin"
"675",143,55,"fat"
"676",132,64,"fat"
"677",198,64,"thin"
"678",148,44,"normal"
"679",193,71,"normal"
"680",157,39,"thin"
"681",149,61,"fat"
"682",143,67,"fat"
"683",190,63,"thin"
"684",130,77,"fat"
"685",177,76,"normal"
"686",140,39,"normal"
"687",157,60,"normal"
"688",131,50,"fat"
"689",138,55,"fat"
"690",179,54,"thin"
"691",133,43,"normal"
"692",127,54,"fat"
"693",200,57,"thin"
"694",160,64,"normal"
"695",196,77,"normal"
"696",149,73,"fat"
"697",185,68,"normal"
"698",152,74,"fat"
"699",142,64,"fat"
"700",127,63,"fat"
"701",130,74,"fat"
"702",146,74,"fat"
"703",177,72,"normal"
"704",130,42,"normal"
"705",137,65,"fat"
"706",191,54,"thin"
"707",125,68,"fat"
"708",164,77,"fat"
"709",130,80,"fat"
"710",161,71,"fat"
"711",120,60,"fat"
"712",150,80,"fat"
"713",145,44,"normal"
"714",142,78,"fat"
"715",144,79,"fat"
"716",147,68,"fat"
"717",132,44,"fat"
"718",188,51,"thin"
"719",184,37,"thin"
"720",158,46,"thin"
"721",186,47,"thin"
"722",153,70,"fat"
"723",192,39,"thin"
"724",126,62,"fat"
"725",169,47,"thin"
"726",130,45,"fat"
"727",193,40,"thin"
"728",153,65,"fat"
"729",171,48,"thin"
"730",135,41,"normal"
"731",124,70,"fat"
"732",167,80,"fat"
"733",180,79,"normal"
"734",140,72,"fat"
"735",141,52,"fat"
"736",123,36,"normal"
"737",156,62,"fat"
"738",185,60,"thin"
"739",172,70,"normal"
"740",182,61,"thin"
"741",187,65,"normal"
"742",198,72,"thin"
"743",121,35,"normal"
"744",143,50,"normal"
"745",127,59,"fat"
"746",169,62,"normal"
"747",125,79,"fat"
"748",190,40,"thin"
"749",180,78,"normal"
"750",182,72,"normal"
"751",135,67,"fat"
"752",164,38,"thin"
"753",154,67,"fat"
"754",151,53,"normal"
"755",157,79,"fat"
"756",120,36,"fat"
"757",158,65,"fat"
"758",195,71,"normal"
"759",122,73,"fat"
"760",182,64,"normal"
"761",195,47,"thin"
"762",123,58,"fat"
"763",140,58,"fat"
"764",160,67,"fat"
"765",129,80,"fat"
"766",148,68,"fat"
"767",186,51,"thin"
"768",168,45,"thin"
"769",134,60,"fat"
"770",192,44,"thin"
"771",138,77,"fat"
"772",172,77,"fat"
"773",171,48,"thin"
"774",153,48,"normal"
"775",130,73,"fat"
"776",125,64,"fat"
"777",129,56,"fat"
"778",125,42,"fat"
"779",178,43,"thin"
"780",134,64,"fat"
"781",158,47,"normal"
"782",173,43,"thin"
"783",137,57,"fat"
"784",123,64,"fat"
"785",157,38,"thin"
"786",152,37,"thin"
"787",139,42,"normal"
"788",184,55,"thin"
"789",153,66,"fat"
"790",135,77,"fat"
"791",126,43,"fat"
"792",189,56,"thin"
"793",125,42,"fat"
"794",193,42,"thin"
"795",163,50,"normal"
"796",145,60,"fat"
"797",159,49,"normal"
"798",146,40,"normal"
"799",183,75,"normal"
"800",170,56,"normal"
"801",163,51,"normal"
"802",150,36,"thin"
"803",167,70,"fat"
"804",155,63,"fat"
"805",137,59,"fat"
"806",165,39,"thin"
"807",146,51,"normal"
"808",128,69,"fat"
"809",141,63,"fat"
"810",192,35,"thin"
"811",164,77,"fat"
"812",175,52,"thin"
"813",161,40,"thin"
"814",155,54,"normal"
"815",175,58,"normal"
"816",148,47,"normal"
"817",132,63,"fat"
"818",135,48,"fat"
"819",126,38,"normal"
"820",141,50,"fat"
"821",185,56,"thin"
"822",152,55,"normal"
"823",166,71,"fat"
"824",184,43,"thin"
"825",194,73,"normal"
"826",162,56,"normal"
"827",199,71,"thin"
"828",194,45,"thin"
"829",174,39,"thin"
"830",184,57,"thin"
"831",144,44,"normal"
"832",143,66,"fat"
"833",147,63,"fat"
"834",185,72,"normal"
"835",139,76,"fat"
"836",154,35,"thin"
"837",170,43,"thin"
"838",155,66,"fat"
"839",137,40,"normal"
"840",162,68,"fat"
"841",171,52,"thin"
"842",160,60,"normal"
"843",146,75,"fat"
"844",144,71,"fat"
"845",182,79,"normal"
"846",149,35,"thin"
"847",129,36,"normal"
"848",148,36,"thin"
"849",157,42,"thin"
"850",165,40,"thin"
"851",130,50,"fat"
"852",148,39,"thin"
"853",167,51,"thin"
"854",133,78,"fat"
"855",143,56,"fat"
"856",143,76,"fat"
"857",162,55,"normal"
"858",135,67,"fat"
"859",148,67,"fat"
"860",141,69,"fat"
"861",175,36,"thin"
"862",128,61,"fat"
"863",160,71,"fat"
"864",185,77,"normal"
"865",197,45,"thin"
"866",149,53,"normal"
"867",195,70,"thin"
"868",195,42,"thin"
"869",170,75,"fat"
"870",126,35,"normal"
"871",198,75,"normal"
"872",197,52,"thin"
"873",169,74,"fat"
"874",147,77,"fat"
"875",143,80,"fat"
"876",198,69,"thin"
"877",154,47,"normal"
"878",133,53,"fat"
"879",174,62,"normal"
"880",181,68,"normal"
"881",145,47,"normal"
"882",193,36,"thin"
"883",168,76,"fat"
"884",196,63,"thin"
"885",157,60,"normal"
"886",154,73,"fat"
"887",200,53,"thin"
"888",194,61,"thin"
"889",120,40,"fat"
"890",170,52,"thin"
"891",129,56,"fat"
"892",120,40,"fat"
"893",143,77,"fat"
"894",151,66,"fat"
"895",152,75,"fat"
"896",135,58,"fat"
"897",194,44,"thin"
"898",154,60,"fat"
"899",127,71,"fat"
"900",129,77,"fat"
"901",138,69,"fat"
"902",168,57,"normal"
"903",155,57,"normal"
"904",122,44,"fat"
"905",172,65,"normal"
"906",170,69,"normal"
"907",183,75,"normal"
"908",186,61,"thin"
"909",141,63,"fat"
"910",135,49,"fat"
"911",125,76,"fat"
"912",155,38,"thin"
"913",192,40,"thin"
"914",162,61,"normal"
"915",142,72,"fat"
"916",189,63,"thin"
"917",124,49,"fat"
"918",147,71,"fat"
"919",188,37,"thin"
"920",185,47,"thin"
"921",175,39,"thin"
"922",195,60,"thin"
"923",166,48,"thin"
"924",137,68,"fat"
"925",152,74,"fat"
"926",151,43,"normal"
"927",160,76,"fat"
"928",171,66,"normal"
"929",172,57,"normal"
"930",176,49,"thin"
"931",174,40,"thin"
"932",157,78,"fat"
"933",128,39,"normal"
"934",141,42,"normal"
"935",192,62,"thin"
"936",155,38,"thin"
"937",179,36,"thin"
"938",157,62,"fat"
"939",179,36,"thin"
"940",189,53,"thin"
"941",195,50,"thin"
"942",162,49,"normal"
"943",138,50,"fat"
"944",137,60,"fat"
"945",193,45,"thin"
"946",154,51,"normal"
"947",183,75,"normal"
"948",177,40,"thin"
"949",120,61,"fat"
"950",151,53,"normal"
"951",139,35,"thin"
"952",184,67,"normal"
"953",168,61,"normal"
"954",127,61,"fat"
"955",167,45,"thin"
"956",143,57,"fat"
"957",183,76,"normal"
"958",125,61,"fat"
"959",120,70,"fat"
"960",133,50,"fat"
"961",121,51,"fat"
"962",140,63,"fat"
"963",199,36,"thin"
"964",178,50,"thin"
"965",199,57,"thin"
"966",195,80,"normal"
"967",137,52,"fat"
"968",185,35,"thin"
"969",171,63,"normal"
"970",163,55,"normal"
"971",126,50,"fat"
"972",174,80,"fat"
"973",172,67,"normal"
"974",137,69,"fat"
"975",157,71,"fat"
"976",155,35,"thin"
"977",181,38,"thin"
"978",122,60,"fat"
"979",182,39,"thin"
"980",159,60,"normal"
"981",172,73,"normal"
"982",200,70,"thin"
"983",133,64,"fat"
"984",195,35,"thin"
"985",155,67,"fat"
"986",156,61,"fat"
"987",169,59,"normal"
"988",160,79,"fat"
"989",162,59,"normal"
"990",128,45,"fat"
"991",161,67,"fat"
"992",163,60,"normal"
"993",128,57,"fat"
"994",180,55,"thin"
"995",148,44,"normal"
"996",144,50,"normal"
"997",149,73,"fat"
"998",152,41,"thin"
"999",193,61,"thin"
"1000",122,39,"fat"
"1001",148,70,"fat"
"1002",194,76,"normal"
"1003",170,61,"normal"
"1004",131,37,"normal"
"1005",129,73,"fat"
"1006",176,51,"thin"
"1007",196,60,"thin"
"1008",122,60,"fat"
"1009",190,56,"thin"
"1010",146,63,"fat"
"1011",174,68,"normal"
"1012",135,76,"fat"
"1013",144,59,"fat"
"1014",168,62,"normal"
"1015",172,75,"fat"
"1016",138,64,"fat"
"1017",124,49,"fat"
"1018",151,55,"normal"
"1019",138,41,"normal"
"1020",175,71,"normal"
"1021",179,72,"normal"
"1022",167,68,"normal"
"1023",122,49,"fat"
"1024",194,69,"thin"
"1025",133,66,"fat"
"1026",169,57,"normal"
"1027",146,49,"normal"
"1028",166,63,"normal"
"1029",195,38,"thin"
"1030",156,74,"fat"
"1031",190,49,"thin"
"1032",165,57,"normal"
"1033",153,77,"fat"
"1034",125,62,"fat"
"1035",144,46,"normal"
"1036",191,76,"normal"
"1037",133,59,"fat"
"1038",153,68,"fat"
"1039",183,69,"normal"
"1040",187,47,"thin"
"1041",144,37,"thin"
"1042",171,38,"thin"
"1043",194,41,"thin"
"1044",155,60,"normal"
"1045",167,51,"thin"
"1046",133,49,"fat"
"1047",173,49,"thin"
"1048",126,45,"fat"
"1049",140,65,"fat"
"1050",193,65,"thin"
"1051",140,39,"normal"
"1052",195,48,"thin"
"1053",200,70,"thin"
"1054",156,58,"normal"
"1055",146,52,"normal"
"1056",163,75,"fat"
"1057",158,68,"fat"
"1058",156,52,"normal"
"1059",163,67,"fat"
"1060",133,74,"fat"
"1061",141,75,"fat"
"1062",124,80,"fat"
"1063",186,49,"thin"
"1064",126,67,"fat"
"1065",126,54,"fat"
"1066",154,38,"thin"
"1067",131,59,"fat"
"1068",166,76,"fat"
"1069",172,58,"normal"
"1070",164,42,"thin"
"1071",140,78,"fat"
"1072",141,60,"fat"
"1073",181,70,"normal"
"1074",144,71,"fat"
"1075",145,80,"fat"
"1076",177,66,"normal"
"1077",177,62,"normal"
"1078",195,35,"thin"
"1079",152,71,"fat"
"1080",143,38,"normal"
"1081",171,39,"thin"
"1082",170,50,"thin"
"1083",176,52,"thin"
"1084",162,35,"thin"
"1085",123,71,"fat"
"1086",144,60,"fat"
"1087",193,69,"normal"
"1088",129,58,"fat"
"1089",181,67,"normal"
"1090",130,39,"normal"
"1091",183,44,"thin"
"1092",174,47,"thin"
"1093",197,45,"thin"
"1094",134,56,"fat"
"1095",132,69,"fat"
"1096",126,46,"fat"
"1097",183,70,"normal"
"1098",146,66,"fat"
"1099",128,55,"fat"
"1100",151,37,"thin"
"1101",124,60,"fat"
"1102",157,59,"normal"
"1103",121,63,"fat"
"1104",131,72,"fat"
"1105",182,71,"normal"
"1106",193,35,"thin"
"1107",180,46,"thin"
"1108",188,80,"normal"
"1109",197,54,"thin"
"1110",147,75,"fat"
"1111",127,57,"fat"
"1112",153,72,"fat"
"1113",182,77,"normal"
"1114",180,37,"thin"
"1115",158,56,"normal"
"1116",125,71,"fat"
"1117",200,40,"thin"
"1118",160,52,"normal"
"1119",131,61,"fat"
"1120",124,68,"fat"
"1121",148,52,"normal"
"1122",182,35,"thin"
"1123",151,62,"fat"
"1124",192,38,"thin"
"1125",159,65,"fat"
"1126",200,68,"thin"
"1127",142,51,"fat"
"1128",168,50,"thin"
"1129",163,58,"normal"
"1130",133,65,"fat"
"1131",196,45,"thin"
"1132",137,72,"fat"
"1133",168,57,"normal"
"1134",137,61,"fat"
"1135",148,64,"fat"
"1136",140,73,"fat"
"1137",176,69,"normal"
"1138",188,62,"thin"
"1139",171,52,"thin"
"1140",150,44,"normal"
"1141",126,61,"fat"
"1142",152,44,"normal"
"1143",150,61,"fat"
"1144",155,35,"thin"
"1145",130,66,"fat"
"1146",189,41,"thin"
"1147",157,72,"fat"
"1148",171,54,"thin"
"1149",144,42,"normal"
"1150",183,76,"normal"
"1151",164,71,"fat"
"1152",172,62,"normal"
